percent,value
76.2,761999.238
76.3,762999.237
76.4,763999.236
76.5,764999.235
76.6,765999.2339999999
76.7,766999.233
76.8,767999.232
76.9,768999.231
77.0,769999.23
77.1,770999.2289999999
77.2,771999.228
77.3,772999.2270000001
77.4,773999.226
77.5,774999.225
77.6,775999.2239999999
77.7,776999.223
77.8,777999.2220000001
77.9,778999.221
78.0,779999.22
78.1,780999.2189999999
78.2,781999.218
78.3,782999.217
78.4,783999.216
78.5,784999.2150000001
78.6,785999.2139999999
78.7,786999.213
78.8,787999.2119999999
78.9,788999.211
79.0,789999.2100000001
79.1,790999.2089999999
79.2,791999.208
79.3,792999.2069999999
79.4,793999.206
79.5,794999.2050000001
79.6,795999.2039999999
79.7,796999.2030000001
79.8,797999.2019999999
79.9,798999.201
80.0,799999.2000000001
80.1,800999.1989999999
80.2,801999.1980000001
80.3,802999.1969999999
80.4,803999.196
80.5,804999.1950000001
80.6,805999.1939999999
80.7,806999.1930000001
80.8,807999.1919999999
80.9,808999.1910000001
81.0,809999.1900000001
81.1,810999.1889999999
81.2,811999.1880000001
81.3,812999.1869999999
81.4,813999.1860000001
81.5,814999.1849999999
81.6,815999.1839999999
81.7,816999.1830000001
81.8,817999.1819999999
81.9,818999.1810000001
82.0,819999.1799999999
82.1,820999.179
82.2,821999.1780000001
82.3,822999.1769999999
82.4,823999.1760000001
82.5,824999.1749999999
82.6,825999.174
82.7,826999.1730000001
82.8,827999.1719999999
82.9,828999.1710000001
83.0,829999.1699999999
83.1,830999.169
83.2,831999.1680000001
83.3,832999.167
83.4,833999.1660000001
83.5,834999.1649999999
83.6,835999.164
83.7,836999.1630000001
83.8,837999.162
83.9,838999.1610000001
84.0,839999.1599999999
84.1,840999.159
84.2,841999.158
84.3,842999.157
84.4,843999.1560000001
84.5,844999.155
84.6,845999.154
84.7,846999.1529999999
84.8,847999.152
84.9,848999.1510000001
85.0,849999.15
85.1,850999.149
85.2,851999.1479999999
85.3,852999.147
85.4,853999.1460000001
85.5,854999.145
85.6,855999.144
85.7,856999.143
85.8,857999.142
85.9,858999.1410000001
86.0,859999.14
86.1,860999.139
86.2,861999.138
86.3,862999.137
86.4,863999.136
86.5,864999.135
86.6,865999.134
86.7,866999.133
86.8,867999.132
86.9,868999.131
87.0,869999.13
87.1,870999.129
87.2,871999.128
87.3,872999.127
87.4,873999.1260000002
87.5,874999.125
87.6,875999.1239999998
87.7,876999.123
87.8,877999.122
87.9,878999.121
88.0,879999.12
88.1,880999.119
88.2,881999.118
88.3,882999.117
88.4,883999.116
88.5,884999.115
88.6,885999.114
88.7,886999.113
88.8,887999.112
88.9,888999.111
89.0,889999.11
89.1,890999.1089999999
89.2,891999.108
89.3,892999.107
89.4,893999.106
89.5,894999.105
89.6,895999.1039999999
89.7,896999.103
89.8,897999.1020000001
89.9,898999.101
90.0,899999.1
90.1,900999.0989999999
90.2,901999.098
90.3,902999.0970000001
90.4,903999.096
90.5,904999.095
90.6,905999.0939999999
90.7,906999.093
90.8,907999.092
90.9,908999.091
91.0,909999.0900000001
91.1,910999.0889999999
91.2,911999.088
91.3,912999.0869999999
91.4,913999.086
91.5,914999.0850000001
91.6,915999.0839999999
91.7,916999.083
91.8,917999.0819999999
91.9,918999.081
92.0,919999.0800000001
92.1,920999.0789999999
92.2,921999.0780000001
92.3,922999.0769999999
92.4,923999.076
92.5,924999.0750000001
92.6,925999.0739999999
92.7,926999.0730000001
92.8,927999.0719999999
92.9,928999.071
93.0,929999.0700000001
93.1,930999.0689999999
93.2,931999.0680000001
93.3,932999.0669999999
93.4,933999.0660000001
93.5,934999.0650000001
93.6,935999.0639999999
93.7,936999.0630000001
93.8,937999.0619999999
93.9,938999.0610000001
94.0,939999.0599999999
94.1,940999.0589999999
94.2,941999.0580000001
94.3,942999.0569999999
94.4,943999.0560000001
94.5,944999.0549999999
94.6,945999.054
94.7,946999.0530000001
94.8,947999.0519999999
94.9,948999.0510000001
95.0,949999.0499999999
95.1,950999.049
95.2,951999.0480000001
95.3,952999.0469999999
95.4,953999.0460000001
95.5,954999.0449999999
95.6,955999.044
95.7,956999.0430000001
95.8,957999.042
95.9,958999.0410000001
96.0,959999.0399999999
96.1,960999.039
96.2,961999.0380000001
96.3,962999.037
96.4,963999.0360000001
96.5,964999.0349999999
96.6,965999.034
96.7,966999.033
96.8,967999.032
96.9,968999.0310000001
97.0,969999.03
97.1,970999.029
97.2,971999.0279999999
97.3,972999.027
97.4,973999.0260000001
97.5,974999.025
97.6,975999.024
97.7,976999.0229999999
97.8,977999.022
97.9,978999.0210000001
98.0,979999.02
98.1,980999.019
98.2,981999.018
98.3,982999.017
98.4,983999.0160000001
98.5,984999.015
98.6,985999.014
98.7,986999.013
